Date,Infection Freq.
1964-10-19,6
1964-10-28,2
1964-10-29,0
1964-10-30,0
1965-09-03,79.9
2004-08-24,9
2004-09-07,28.8
2004-09-23,3.1
2004-10-02,24.4
2004-10-08,28.8
2004-10-15,6.6
2004-10-24,10.5
2004-11-02,6.25
2004-11-21,9.375
2004-12-05,10
2005-06-26,0
2005-07-02,0
2005-07-26,0
2005-08-08,0
2005-08-16,14.9
2005-08-21,29.2
2005-08-29,12.96
2005-09-06,3.14
2005-09-12,5.28
2005-09-18,29.7
2005-09-26,35.4
2005-10-02,5.91
2005-10-09,8.4
2005-10-22,4.62
2005-10-30,15.48
2005-11-06,17
2006-07-07,1.29
2006-07-16,5.93
2006-08-14,11
2006-09-07,36.98
2006-09-12,35.39
2006-09-18,58.66
2006-09-21,39.85
2006-09-23,31.53
2010-08-02,25
2010-08-13,55
2010-08-31,50
2010-09-09,20
2010-09-15,10
2010-09-17,10
2010-09-24,10
2010-11-03,10
2011-07-06,0
2011-07-22,25
2011-07-27,15
2011-08-05,65
2011-08-17,5
2011-08-24,70
2011-09-14,55
2011-09-28,65
2012-07-05,0
2012-08-03,45
2012-08-10,40
2012-08-22,30
2012-08-29,45
2012-09-04,41.67
2012-09-06,45
2012-09-17,60
2013-07-25,35
2013-08-08,65
2013-10-01,30
2013-10-02,20
2013-10-03,40
2013-10-04,35
2013-10-05,25
